"","X","state.n","year.n","race.n","sex.n","COD","race","sex","state","year","Census_Division","Census_Region","stabbrs","rate.per.100k_lcl","rate.per.100k_med","rate.per.100k_ucl","rate.per.100k_mean","state.reorder"
"1",1,0,1,0,0,"All other causes","White","Male","Alabama",1969,"East South Central","South","AL",183.171845297404,190.521745841401,197.826630435519,190.521745841401,"Alabama"
"2",2,0,1,0,0,"Cancers","White","Male","Alabama",1969,"East South Central","South","AL",225.986460610732,232.851695899117,240.875472761994,232.851695899117,"Alabama"
"3",3,0,1,0,0,"Cardiovascular","White","Male","Alabama",1969,"East South Central","South","AL",898.574277459294,919.962860662853,941.661391831605,919.962860662853,"Alabama"
"4",4,0,1,0,0,"Communicable","White","Male","Alabama",1969,"East South Central","South","AL",60.5736339432753,65.5238595088319,71.6121370847115,65.5238595088319,"Alabama"
"5",5,0,1,0,0,"Injuries","White","Male","Alabama",1969,"East South Central","South","AL",143.074327344581,148.384208448147,153.211147111164,148.384208448147,"Alabama"
"6",6,0,1,0,0,"Non-communicable","White","Male","Alabama",1969,"East South Central","South","AL",87.9670017488759,92.5317211465606,96.9059117299167,92.5317211465606,"Alabama"
"7",7,0,1,0,1,"All other causes","White","Female","Alabama",1969,"East South Central","South","AL",111.839466057655,116.588017921847,121.749779444054,116.588017921847,"Alabama"
"8",8,0,1,0,1,"Cancers","White","Female","Alabama",1969,"East South Central","South","AL",135.37881139934,139.55708638132,143.568547191207,139.55708638132,"Alabama"
"9",9,0,1,0,1,"Cardiovascular","White","Female","Alabama",1969,"East South Central","South","AL",551.83399169518,566.136662903127,580.134774339541,566.136662903127,"Alabama"
"10",10,0,1,0,1,"Communicable","White","Female","Alabama",1969,"East South Central","South","AL",36.8634279261321,40.057342791783,43.4997713295404,40.057342791783,"Alabama"
"11",11,0,1,0,1,"Injuries","White","Female","Alabama",1969,"East South Central","South","AL",49.316753628114,51.7569857464966,54.3794253337369,51.7569857464966,"Alabama"
"12",12,0,1,0,1,"Non-communicable","White","Female","Alabama",1969,"East South Central","South","AL",41.2604010715345,43.6815593526569,46.4624719884064,43.6815593526569,"Alabama"
"13",13,0,1,1,0,"All other causes","Black","Male","Alabama",1969,"East South Central","South","AL",340.598325704903,356.30550515026,371.67804495202,356.30550515026,"Alabama"
"14",14,0,1,1,0,"Cancers","Black","Male","Alabama",1969,"East South Central","South","AL",230.148516533104,241.724770303298,253.379972993682,241.724770303298,"Alabama"
"15",15,0,1,1,0,"Cardiovascular","Black","Male","Alabama",1969,"East South Central","South","AL",857.02303964252,884.206179562772,912.190142530031,884.206179562772,"Alabama"
"16",16,0,1,1,0,"Communicable","Black","Male","Alabama",1969,"East South Central","South","AL",100.707994168424,109.447166423679,119.22067848688,109.447166423679,"Alabama"
"17",17,0,1,1,0,"Injuries","Black","Male","Alabama",1969,"East South Central","South","AL",239.448105041966,251.923841227703,264.919998397381,251.923841227703,"Alabama"
"18",18,0,1,1,0,"Non-communicable","Black","Male","Alabama",1969,"East South Central","South","AL",87.0950240325744,93.6061463727942,100.025293690382,93.6061463727942,"Alabama"
"19",19,0,1,1,1,"All other causes","Black","Female","Alabama",1969,"East South Central","South","AL",234.136114724897,246.168992655947,258.074112709947,246.168992655947,"Alabama"
"20",20,0,1,1,1,"Cancers","Black","Female","Alabama",1969,"East South Central","South","AL",154.814268845596,161.820134525771,169.677381045552,161.820134525771,"Alabama"
"21",21,0,1,1,1,"Cardiovascular","Black","Female","Alabama",1969,"East South Central","South","AL",685.146614948067,708.131955043286,732.567492063855,708.131955043286,"Alabama"
